data,hora_inicio,hora_fim,servico_amostra,sentido_amostra,id_veiculo_amostra,flag_reprocessamento,protocolo,datetime_partida_amostra,datetime_chegada_amostra,status,data_apurado,id_veiculo_apurado,servico_apurado,sentido_apurado,datetime_partida_apurado,datetime_chegada_apurado
2022-10-10,06:36:00,08:12:00,625,,58012,1,SMTR202212010389,2022-10-10 06:36:00,2022-10-10 08:12:00,,,,,,,
2022-10-10,05:20:00,07:14:00,650,,51533,1,SMTR202212004187,2022-10-10 05:20:00,2022-10-10 07:14:00,,,,,,,
2022-10-10,23:05:00,23:56:00,628,,581231,1,SMTR202212003373,2022-10-10 23:05:00,2022-10-10 23:56:00,,,,,,,
2022-10-10,09:33:00,10:57:00,SV917,,51508,1,SMTR202212002287,2022-10-10 09:33:00,2022-10-10 10:57:00,,,,,,,
2022-10-10,06:00:00,07:21:00,SV917,,51578,1,SMTR202212002286,2022-10-10 06:00:00,2022-10-10 07:21:00,,,,,,,
2022-10-10,17:40:00,20:06:00,SV917,,51643,1,SMTR202212002285,2022-10-10 17:40:00,2022-10-10 20:06:00,,,,,,,
2022-10-10,22:11:00,23:10:00,SV917,,51646,1,SMTR202212002281,2022-10-10 22:11:00,2022-10-10 23:10:00,,,,,,,
2022-10-10,14:39:00,15:55:00,SV917,,51644,1,SMTR202212002280,2022-10-10 14:39:00,2022-10-10 15:55:00,,,,,,,
2022-10-10,12:45:00,13:49:00,SV917,,51517,1,SMTR202212002277,2022-10-10 12:45:00,2022-10-10 13:49:00,,,,,,,
2022-10-10,16:50:00,18:48:00,SV917,,51504,1,SMTR202212002275,2022-10-10 16:50:00,2022-10-10 18:48:00,,,,,,,
2022-10-10,07:58:00,08:19:00,SV917,,51651,1,SMTR202212002270,2022-10-10 07:58:00,2022-10-10 08:19:00,,,,,,,
2022-10-10,06:57:00,07:35:00,SV917,,51640,1,SMTR202212002268,2022-10-10 06:57:00,2022-10-10 07:35:00,,,,,,,
2022-10-10,06:35:00,06:54:00,SV917,,51651,1,SMTR202212002267,2022-10-10 06:35:00,2022-10-10 06:54:00,,,,,,,
2022-10-10,16:36:00,17:56:00,SV917,,51501,1,SMTR202212002266,2022-10-10 16:36:00,2022-10-10 17:56:00,,,,,,,
2022-10-10,17:02:00,18:34:00,LECD36,,51641,1,SMTR202212002172,2022-10-10 17:02:00,2022-10-10 18:34:00,,,,,,,
2022-10-10,15:59:00,17:09:00,LECD36,,51522,1,SMTR202212002170,2022-10-10 15:59:00,2022-10-10 17:09:00,,,,,,,
2022-10-10,19:28:00,20:37:00,LECD36,,51515,1,SMTR202212002168,2022-10-10 19:28:00,2022-10-10 20:37:00,,,,,,,
2022-10-10,08:06:00,08:50:00,LECD36,,51647,1,SMTR202212002165,2022-10-10 08:06:00,2022-10-10 08:50:00,,,,,,,
2022-10-10,07:42:00,08:44:00,LECD36,,51641,1,SMTR202212002161,2022-10-10 07:42:00,2022-10-10 08:44:00,,,,,,,
2022-10-10,07:38:00,08:50:00,LECD36,,51622,1,SMTR202212002158,2022-10-10 07:38:00,2022-10-10 08:50:00,,,,,,,
2022-10-10,06:21:00,07:40:00,LECD36,,51641,1,SMTR202212002156,2022-10-10 06:21:00,2022-10-10 07:40:00,,,,,,,
2022-10-10,05:00:00,05:55:00,LECD36,,51641,1,SMTR202212002153,2022-10-10 05:00:00,2022-10-10 05:55:00,,,,,,,
2022-10-10,12:34:00,13:59:00,LECD36,,51633,1,SMTR202212002150,2022-10-10 12:34:00,2022-10-10 13:59:00,,,,,,,
2022-10-10,06:54:00,07:30:00,LECD36,,51633,1,SMTR202212002147,2022-10-10 06:54:00,2022-10-10 07:30:00,,,,,,,
2022-10-10,10:32:00,11:37:00,917,,51583,1,SMTR202212001729,2022-10-10 10:32:00,2022-10-10 11:37:00,,,,,,,
2022-10-10,15:45:00,17:41:00,917,,51539,1,SMTR202212001727,2022-10-10 15:45:00,2022-10-10 17:41:00,,,,,,,
2022-10-10,11:31:00,12:42:00,917,,51640,1,SMTR202212001724,2022-10-10 11:31:00,2022-10-10 12:42:00,,,,,,,
2022-10-10,15:42:00,16:50:00,917,,51643,1,SMTR202212001721,2022-10-10 15:42:00,2022-10-10 16:50:00,,,,,,,
2022-10-10,14:04:00,15:34:00,917,,51640,1,SMTR202212001717,2022-10-10 14:04:00,2022-10-10 15:34:00,,,,,,,
2022-10-10,09:04:00,10:11:00,917,,51593,1,SMTR202212001713,2022-10-10 09:04:00,2022-10-10 10:11:00,,,,,,,
2022-10-10,07:20:00,08:55:00,917,,51523,1,SMTR202212001708,2022-10-10 07:20:00,2022-10-10 08:55:00,,,,,,,
2022-10-10,05:50:00,06:46:00,917,,51501,1,SMTR202212001707,2022-10-10 05:50:00,2022-10-10 06:46:00,,,,,,,
2022-10-10,04:42:00,05:49:00,917,,51518,1,SMTR202212001703,2022-10-10 04:42:00,2022-10-10 05:49:00,,,,,,,
2022-10-10,16:06:00,17:39:00,917,,51518,1,SMTR202212001697,2022-10-10 16:06:00,2022-10-10 17:39:00,,,,,,,
2022-10-10,16:16:00,17:43:00,917,,51570,1,SMTR202212001683,2022-10-10 16:16:00,2022-10-10 17:43:00,,,,,,,
2022-10-10,15:19:00,16:30:00,917,,51508,1,SMTR202212001679,2022-10-10 15:19:00,2022-10-10 16:30:00,,,,,,,
2022-10-10,15:30:00,16:52:00,624,,51611,1,SMTR202212000949,2022-10-10 15:30:00,2022-10-10 16:52:00,,,,,,,
2022-10-10,17:20:00,19:04:00,624,,51636,1,SMTR202212000948,2022-10-10 17:20:00,2022-10-10 19:04:00,,,,,,,
2022-10-10,16:59:00,18:52:00,624,,51554,1,SMTR202212000946,2022-10-10 16:59:00,2022-10-10 18:52:00,,,,,,,
2022-10-10,17:42:00,19:25:00,624,,51535,1,SMTR202212000941,2022-10-10 17:42:00,2022-10-10 19:25:00,,,,,,,
2022-10-10,14:52:00,16:08:00,624,,51625,1,SMTR202212000939,2022-10-10 14:52:00,2022-10-10 16:08:00,,,,,,,
2022-10-10,16:28:00,18:04:00,607,,51639,1,SMTR202212000902,2022-10-10 16:28:00,2022-10-10 18:04:00,,,,,,,
2022-10-10,07:02:00,08:26:00,371,,51605,1,SMTR202212000784,2022-10-10 07:02:00,2022-10-10 08:26:00,,,,,,,
2022-10-10,13:18:00,14:44:00,371,,51579,1,SMTR202212000782,2022-10-10 13:18:00,2022-10-10 14:44:00,,,,,,,
2022-10-10,23:50:00,00:52:00,371,,51596,1,SMTR202212000780,2022-10-10 23:50:00,2022-10-10 00:52:00,,,,,,,
2022-10-10,22:41:00,23:45:00,371,,51609,1,SMTR202212000754,2022-10-10 22:41:00,2022-10-10 23:45:00,,,,,,,
2022-10-10,07:20:00,08:37:00,371,,51610,1,SMTR202212000750,2022-10-10 07:20:00,2022-10-10 08:37:00,,,,,,,
2022-10-10,23:30:00,00:25:00,371,,51506,1,SMTR202212000727,2022-10-10 23:30:00,2022-10-10 00:25:00,,,,,,,
2022-10-10,22:23:00,23:27:00,371,,51581,1,SMTR202212000725,2022-10-10 22:23:00,2022-10-10 23:27:00,,,,,,,
2022-10-10,16:07:00,17:28:00,371,,51649,1,SMTR202212000724,2022-10-10 16:07:00,2022-10-10 17:28:00,,,,,,,
2022-10-10,22:00:00,23:02:00,371,,51571,1,SMTR202212000720,2022-10-10 22:00:00,2022-10-10 23:02:00,,,,,,,
2022-10-10,08:56:00,10:06:00,371,,51558,1,SMTR202212000709,2022-10-10 08:56:00,2022-10-10 10:06:00,,,,,,,
2022-10-10,08:18:00,09:29:00,371,,51556,1,SMTR202212000706,2022-10-10 08:18:00,2022-10-10 09:29:00,,,,,,,
2022-10-10,15:59:00,17:13:00,371,,51538,1,SMTR202212000704,2022-10-10 15:59:00,2022-10-10 17:13:00,,,,,,,
2022-10-10,01:06:00,02:01:00,371,,51516,1,SMTR202212000703,2022-10-10 01:06:00,2022-10-10 02:01:00,,,,,,,
2022-10-10,00:02:00,01:03:00,371,,51502,1,SMTR202212000702,2022-10-10 00:02:00,2022-10-10 01:03:00,,,,,,,
2022-10-10,23:24:00,00:19:00,371,,51590,1,SMTR202212000700,2022-10-10 23:24:00,2022-10-10 00:19:00,,,,,,,
2022-10-10,23:02:00,23:57:00,SV917,,51619,1,SMTR202211009011,2022-10-10 23:02:00,2022-10-10 23:57:00,,,,,,,
2022-10-10,00:33:00,01:31:00,SV917,,51618,1,SMTR202211009009,2022-10-10 00:33:00,2022-10-10 01:31:00,,,,,,,
2022-10-10,09:32:00,10:45:00,LECD36,,51615,1,SMTR202211009004,2022-10-10 09:32:00,2022-10-10 10:45:00,,,,,,,
2022-10-10,15:44:00,17:41:00,LECD36,,51615,1,SMTR202211009002,2022-10-10 15:44:00,2022-10-10 17:41:00,,,,,,,
2022-10-10,03:59:00,04:50:00,624,,51530,1,SMTR202211008641,2022-10-10 03:59:00,2022-10-10 04:50:00,,,,,,,
2022-10-10,23:15:00,00:23:00,624,,51554,1,SMTR202211008640,2022-10-10 23:15:00,2022-10-10 00:23:00,,,,,,,
2022-10-10,18:03:00,19:18:00,624,,51536,1,SMTR202211008637,2022-10-10 18:03:00,2022-10-10 19:18:00,,,,,,,
2022-10-10,22:13:00,23:33:00,624,,51501,1,SMTR202211008636,2022-10-10 22:13:00,2022-10-10 23:33:00,,,,,,,
2022-10-10,20:21:00,21:29:00,624,,51521,1,SMTR202211008635,2022-10-10 20:21:00,2022-10-10 21:29:00,,,,,,,
2022-10-10,22:32:00,23:41:00,624,,51521,1,SMTR202211008633,2022-10-10 22:32:00,2022-10-10 23:41:00,,,,,,,
2022-10-10,05:30:00,07:19:00,371,,51592,1,SMTR202211008598,2022-10-10 05:30:00,2022-10-10 07:19:00,,,,,,,
2022-10-10,11:46:00,12:37:00,371,,51516,1,SMTR202211008595,2022-10-10 11:46:00,2022-10-10 12:37:00,,,,,,,
2022-10-10,16:27:00,17:24:00,51609,,51609,1,SMTR202211008594,2022-10-10 16:27:00,2022-10-10 17:24:00,,,,,,,
2022-10-10,14:52:00,15:42:00,371,,51609,1,SMTR202211008592,2022-10-10 14:52:00,2022-10-10 15:42:00,,,,,,,
2022-10-10,11:43:00,12:33:00,371,,51603,1,SMTR202211008588,2022-10-10 11:43:00,2022-10-10 12:33:00,,,,,,,
2022-10-10,17:21:00,19:00:00,371,,51603,1,SMTR202211008587,2022-10-10 17:21:00,2022-10-10 19:00:00,,,,,,,
2022-10-10,15:18:00,16:30:00,371,,51579,1,SMTR202211008586,2022-10-10 15:18:00,2022-10-10 16:30:00,,,,,,,
2022-10-10,07:17:00,08:58:00,371,,51579,1,SMTR202211008581,2022-10-10 07:17:00,2022-10-10 08:58:00,,,,,,,
2022-10-10,21:38:00,22:09:00,371,,51525,1,SMTR202211008580,2022-10-10 21:38:00,2022-10-10 22:09:00,,,,,,,
2022-10-10,05:58:00,06:37:00,371,,51502,1,SMTR202211008579,2022-10-10 05:58:00,2022-10-10 06:37:00,,,,,,,
2022-10-10,22:39:00,23:11:00,371,,51502,1,SMTR202211008578,2022-10-10 22:39:00,2022-10-10 23:11:00,,,,,,,
2022-10-10,06:23:00,07:14:00,371,,51556,1,SMTR202211008577,2022-10-10 06:23:00,2022-10-10 07:14:00,,,,,,,
2022-10-10,09:40:00,10:27:00,371,,51556,1,SMTR202211008575,2022-10-10 09:40:00,2022-10-10 10:27:00,,,,,,,
2022-10-10,08:13:00,08:51:00,371,,51509,1,SMTR202211008574,2022-10-10 08:13:00,2022-10-10 08:51:00,,,,,,,
2022-10-10,08:56:00,09:37:00,371,,51509,1,SMTR202211008573,2022-10-10 08:56:00,2022-10-10 09:37:00,,,,,,,
